TIERS,PLAYER NAME,TEAM,RK,POS,BEST,WORST,AVG.,STD.DEV
12,Dare Ogunbowale,JAC,378,RB107,237,386,318.9,36.7
12,Cameron Brate,TB,379,TE49,260,394,349.4,27.4
12,Tylan Wallace,BAL,380,WR124,268,480,338.5,40.6
12,Khalil Herbert,CHI,381,RB108,234,392,326.3,41.2
12,Greg Joseph,MIN,382,K31,253,342,309.4,21.6
12,Davis Mills,HOU,383,QB39,237,397,352.9,30.1
12,Chase McLaughlin,CLE,384,K32,247,353,298.2,30.3
12,Adrian Peterson,FA,385,RB109,237,383,322.4,30.6
12,Tyler Johnson,TB,386,WR125,265,518,339.2,50.8
12,Chris Conley,HOU,387,WR126,206,395,295.7,59.6
12,Sam Sloman,PIT,388,K33,276,342,315.4,17
12,Brevin Jordan,HOU,389,TE50,289,463,349.5,33.7
12,Dan Bailey,FA,390,K34,233,353,298.8,26.2
12,Auden Tate,CIN,391,WR127,256,384,330.8,38.9
12,Devin Duvernay,BAL,392,WR128,216,393,344.3,38.1
12,Jacob Hollister,JAC,393,TE51,227,389,331.3,39.6
12,Nick Folk,NE,394,K35,276,351,312.5,20.7
12,Dede Westbrook,MIN,395,WR129,263,395,329.4,39.4
12,James O'Shaughnessy,JAC,396,TE52,267,391,340.7,32.2
12,Alex Collins,SEA,397,RB110,162,391,279.6,64
12,Foster Moreau,LV,398,TE53,244,398,351.4,39
12,Sam Ficken,TEN,399,K36,251,353,299.4,26.5
12,Ryan Santoso,CAR,400,K37,248,342,302.7,28.4
12,Taylor Heinicke,WAS,401,QB40,284,399,358.7,30.6
12,Maxx Williams,ARI,402,TE54,257,391,336.4,40.8
12,Kylen Granson,IND,403,TE55,234,517,337.7,54.6
12,Quinn Nordin,NE,404,K38,227,342,293,28.3
12,Steven Sims Jr.,PIT,405,WR130,265,387,330.1,35.9
12,Tristan Vizcaino,LAC,406,K39,227,353,285.8,32.1
12,Randy Bullock,FA,407,K40,239,342,314,25
12,Jacob Harris,LAR,408,TE56,244,453,347.5,42
12,Chris Thompson,FA,409,RB111,307,393,339,22.9
12,Albert Wilson,MIA,410,WR131,269,655,354.2,65.8
12,Jacob Eason,IND,411,QB41,308,409,358.5,26.6
12,Gardner Minshew II,PHI,412,QB42,328,394,360,20.7
12,Geoff Swaim,TEN,413,TE57,291,395,359.3,23.2
12,Kyle Juszczyk,SF,414,RB112,235,407,304.4,50.6
12,Matt Ammendola,NYJ,415,K41,297,353,325.7,16.3
12,J.J. Taylor,NE,416,RB113,231,402,312.9,47.3
12,Jordan Love,GB,417,QB43,324,412,359.5,22.6
12,Cam Sims,WAS,418,WR132,270,404,353.3,35.5
12,Collin Johnson,NYG,419,WR133,265,395,346.2,36.2
12,Jalen Hurd,SF,420,WR134,269,396,346.9,42.8
12,Damiere Byrd,CHI,421,WR135,226,400,335,51.8
12,Nick Boyle,BAL,422,TE58,296,414,362.3,26.4
12,Kene Nwangwu,MIN,423,RB114,295,436,352.2,31.7
12,Travis Homer,SEA,424,RB115,312,418,347.4,28.8
12,JaMycal Hasty,SF,425,RB116,274,438,333.8,42
12,Ihmir Smith-Marsette,MIN,426,WR136,240,503,351.6,59
12,Isaiah McKenzie,BUF,427,WR137,244,410,353.9,38.8
12,Antonio Gandy-Golden,WAS,428,WR138,286,422,355,28.8
12,Freddie Swain,SEA,429,WR139,285,618,355.7,71.4
12,Golden Tate,FA,430,WR140,223,403,308.6,51.8
13,Dez Fitzpatrick,TEN,431,WR141,214,401,313.8,56.4
